timestamp,Month,Day,Hour,Minute,Hour_sin,Hour_cos,Minute_sin,Minute_cos,Day_of_week,Day_of_week_sin,Day_of_week_cos,Day_sin,Day_cos,Grid,next_outage_duration,outage_remaining_h,hours_until_outage,Load,Temperature_2m,Shortwave_radiation,Global_tilted_irradiance_instant,DAM_Price
2026-05-03 00:00:00,5,3,0,0,0.0,1.0,0.0,1.0,7,-2.4492935982947064e-16,1.0,0.5712682150947923,0.8207634412072763,1,0.25,0.0,23.25,21.62,7.6945,0.0,0.0,
2026-05-03 00:15:00,5,3,0,15,0.0,1.0,1.0,2.83276944882399e-16,7,-2.4492935982947064e-16,1.0,0.5712682150947923,0.8207634412072763,1,0.25,0.0,23.0,22.2,7.6945,0.0,0.0,
2026-05-03 00:30:00,5,3,0,30,0.0,1.0,5.66553889764798e-16,-1.0,7,-2.4492935982947064e-16,1.0,0.5712682150947923,0.8207634412072763,1,0.25,0.0,22.75,24.11,7.6945,0.0,0.0,
2026-05-03 00:45:00,5,3,0,45,0.0,1.0,-1.0,-1.8369701987210297e-16,7,-2.4492935982947064e-16,1.0,0.5712682150947923,0.8207634412072763,1,0.25,0.0,22.5,21.23,7.6945,0.0,0.0,
2026-05-03 01:00:00,5,3,1,0,0.25881904510252074,0.9659258262890683,0.0,1.0,7,-2.4492935982947064e-16,1.0,0.5712682150947923,0.8207634412072763,1,0.25,0.0,22.25,21.69,6.4945,0.0,0.0,
2026-05-03 01:15:00,5,3,1,15,0.25881904510252074,0.9659258262890683,1.0,2.83276944882399e-16,7,-2.4492935982947064e-16,1.0,0.5712682150947923,0.8207634412072763,1,0.25,0.0,22.0,26.3,6.4945,0.0,0.0,
2026-05-03 01:30:00,5,3,1,30,0.25881904510252074,0.9659258262890683,5.66553889764798e-16,-1.0,7,-2.4492935982947064e-16,1.0,0.5712682150947923,0.8207634412072763,1,0.25,0.0,21.75,24.0,6.4945,0.0,0.0,
2026-05-03 01:45:00,5,3,1,45,0.25881904510252074,0.9659258262890683,-1.0,-1.8369701987210297e-16,7,-2.4492935982947064e-16,1.0,0.5712682150947923,0.8207634412072763,1,0.25,0.0,21.5,22.0,6.4945,0.0,0.0,
2026-05-03 02:00:00,5,3,2,0,0.49999999999999994,0.8660254037844387,0.0,1.0,7,-2.4492935982947064e-16,1.0,0.5712682150947923,0.8207634412072763,1,0.25,0.0,21.25,20.76,5.3945,0.0,0.0,
2026-05-03 02:15:00,5,3,2,15,0.49999999999999994,0.8660254037844387,1.0,2.83276944882399e-16,7,-2.4492935982947064e-16,1.0,0.5712682150947923,0.8207634412072763,1,0.25,0.0,21.0,26.77,5.3945,0.0,0.0,
2026-05-03 02:30:00,5,3,2,30,0.49999999999999994,0.8660254037844387,5.66553889764798e-16,-1.0,7,-2.4492935982947064e-16,1.0,0.5712682150947923,0.8207634412072763,1,0.25,0.0,20.75,22.75,5.3945,0.0,0.0,
2026-05-03 02:45:00,5,3,2,45,0.49999999999999994,0.8660254037844387,-1.0,-1.8369701987210297e-16,7,-2.4492935982947064e-16,1.0,0.5712682150947923,0.8207634412072763,1,0.25,0.0,20.5,23.62,5.3945,0.0,0.0,
2026-05-03 03:00:00,5,3,3,0,0.7071067811865475,0.7071067811865476,0.0,1.0,7,-2.4492935982947064e-16,1.0,0.5712682150947923,0.8207634412072763,1,0.25,0.0,20.25,27.57,4.3945,0.0,0.0,
2026-05-03 03:15:00,5,3,3,15,0.7071067811865475,0.7071067811865476,1.0,2.83276944882399e-16,7,-2.4492935982947064e-16,1.0,0.5712682150947923,0.8207634412072763,1,0.25,0.0,20.0,24.48,4.3945,0.0,0.0,
2026-05-03 03:30:00,5,3,3,30,0.7071067811865475,0.7071067811865476,5.66553889764798e-16,-1.0,7,-2.4492935982947064e-16,1.0,0.5712682150947923,0.8207634412072763,1,0.25,0.0,19.75,22.78,4.3945,0.0,0.0,
